Name,Sex,Age,Team,NOC,Year,Season,City,Sport,Event,Medal
Katrine Aalerud,F,26,Norway,NOR,2020,Summer,Tokyo,Cycling Road,Women's Road Race,
Katrine Aalerud,F,26,Norway,NOR,2020,Summer,Tokyo,Cycling Road,Women's Individual Time Trial,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,
Nestor Abad,M,28,Spain,ESP,2020,Summer,Tokyo,Artistic Gymnastics,Men's Team,
Giovanni Abagnale,M,26,Italy,ITA,2020,Summer,Tokyo,Rowing,Men's Pair,
Alberto Abalde,M,25,Spain,ESP,2020,Summer,Tokyo,Basketball,Men,
Tamara Abalde,F,32,Spain,ESP,2020,Summer,Tokyo,Basketball,Women,
Luc Abalo,M,36,France,FRA,2020,Summer,Tokyo,Handball,Men,Gold
Cesar Abaroa,M,24,Chile,CHI,2020,Summer,Tokyo,Rowing,Lightweight Men's Double Sculls,
Abobakr Abass,M,22,Sudan,SUD,2020,Summer,Tokyo,Swimming,Men's 100m Breaststroke,
Vincenzo Abbagnale,M,28,Italy,ITA,2020,Summer,Tokyo,Rowing,Men's Pair,
Hamideh Abbasali,F,31,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Karate,Women's Kumite +61kg,
Islam Abbasov,M,25,Azerbaijan,AZE,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 87kg,
Lois Abbingh,F,28,Netherlands,NED,2020,Summer,Tokyo,Handball,Women,
Emily Abbot,F,24,Australia,AUS,2020,Summer,Tokyo,Rhythmic Gymnastics,Group All-Around,
Monica Abbott,F,36,United States of America,USA,2020,Summer,Tokyo,Baseball/Softball,Softball,Silver
Haydar Abubaker Abdalla,M,24,Qatar,QAT,2020,Summer,Tokyo,Athletics,Men's 800m,
Mohamed Abdalrasool,M,28,Sudan,SUD,2020,Summer,Tokyo,Judo,Men -73 kg,
Radwa Latif Abdel,F,31,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Women,
Radwa Latif Abdel,F,31,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Mixed Team,
Samy Razek Abdel,M,41,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Men,
Samy Razek Abdel,M,41,Egypt,EGY,2020,Summer,Tokyo,Shooting,10m Air Pistol Mixed Team,
Mohamed Abdelaal,M,31,Egypt,EGY,2020,Summer,Tokyo,Judo,Men -81 kg,
Ilfat Abdullin,M,23,Kazakhstan,KAZ,2020,Summer,Tokyo,Archery,Men's Individual,
Ilfat Abdullin,M,23,Kazakhstan,KAZ,2020,Summer,Tokyo,Archery,Men's Team,
Mohamed Abdulredha,M,31,Bahrain,BRN,2020,Summer,Tokyo,Handball,Men,
Elnur Abduraimov,M,27,Uzbekistan,UZB,2020,Summer,Tokyo,Boxing,Men's Light (57-63kg),
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,
Rasuljon Abdurakhimov,M,24,Uzbekistan,UZB,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,
Bekzod Abdurakhmonov,M,31,Uzbekistan,UZB,2020,Summer,Tokyo,Wrestling,Men's Freestyle 74kg,Bronze
Hifumi Abe,M,23,Japan,JPN,2020,Summer,Tokyo,Judo,Men -66 kg,Gold
Hifumi Abe,M,23,Japan,JPN,2020,Summer,Tokyo,Judo,Mixed Team,Silver
Takatoshi Abe,M,29,Japan,JPN,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
Uta Abe,F,21,Japan,JPN,2020,Summer,Tokyo,Judo,Women -52 kg,Gold
Uta Abe,F,21,Japan,JPN,2020,Summer,Tokyo,Judo,Mixed Team,Silver
Mekides Abebe,F,20,Ethiopia,ETH,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,
Mojtaba Abedini,M,36,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Fencing,Men's Sabre Individual,
Mojtaba Abedini,M,36,Islamic Republic of Iran,IRI,2020,Summer,Tokyo,Fencing,Men's Sabre Team,
Jennifer Abel,F,29,Canada,CAN,2020,Summer,Tokyo,Diving,Women's 3m Springboard,
Jennifer Abel,F,29,Canada,CAN,2020,Summer,Tokyo,Diving,Women's Synchronised 3m Springboard,Silver
Matthew Abela,M,22,Malta,MLT,2020,Summer,Tokyo,Badminton,Men's Singles,
Magnus Roed Abelvik,M,24,Norway,NOR,2020,Summer,Tokyo,Handball,Men,
Matthew Abeysinghe,M,25,Sri Lanka,SRI,2020,Summer,Tokyo,Swimming,Men's 100m Freestyle,
Pablo Abian,M,36,Spain,ESP,2020,Summer,Tokyo,Badminton,Men's Singles,
Mohammed Abicha,M,41,Morocco,MAR,2020,Summer,Tokyo,Beach Volleyball,Men,
Lorena Abicht,F,27,Austria,AUT,2020,Summer,Tokyo,Sailing,Women's Skiff - 49er FX,
Abidine Abidine,M,28,Mauritania,MTN,2020,Summer,Tokyo,Athletics,Men's 5000m,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,Silver
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,
Denis Abliazin,M,29,ROC,ROC,2020,Summer,Tokyo,Artistic Gymnastics,Men's Team,Gold
Abner,M,21,Brazil,BRA,2020,Summer,Tokyo,Football,Men,Gold
Hadel Aboud,F,21,Libya,LBA,2020,Summer,Tokyo,Athletics,Women's 100m,
Alaaeldin Abouelkassem,M,30,Egypt,EGY,2020,Summer,Tokyo,Fencing,Men's Foil Individual,
Alaaeldin Abouelkassem,M,30,Egypt,EGY,2020,Summer,Tokyo,Fencing,Men's Foil Team,
Genzel Nancy Abouke,F,18,Nauru,NRU,2020,Summer,Tokyo,Weightlifting,Women's 76kg,
Tadesse Abraham,M,38,Switzerland,SUI,2020,Summer,Tokyo,Athletics,Men's Marathon,
John Rusten Abrahams,M,23,South Africa,RSA,2020,Summer,Tokyo,Hockey,Men,
Aliyah Abrams,F,24,Guyana,GUY,2020,Summer,Tokyo,Athletics,Women's 400m,
Jasmine Abrams,F,27,Guyana,GUY,2020,Summer,Tokyo,Athletics,Women's 100m,
Benik Abramyan,M,36,Georgia,GEO,2020,Summer,Tokyo,Athletics,Men's Shot Put,
Diogo Abreu,M,27,Portugal,POR,2020,Summer,Tokyo,Trampoline Gymnastics,Men,
Alex Abrines,M,28,Spain,ESP,2020,Summer,Tokyo,Basketball,Men,
Kirill Abrosimov,M,29,ROC,ROC,2020,Summer,Tokyo,Marathon Swimming,Men's 10km,
Asma Rabee Abu,F,29,Jordan,JOR,2020,Summer,Tokyo,Shooting,10m Air Pistol Women,
Wesam Rmilah Abu,M,25,Palestine,PLE,2020,Summer,Tokyo,Judo,Men -81 kg,
Joshua Abuaku,M,25,Germany,GER,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,
Tala Abujbara,F,29,Qatar,QAT,2020,Summer,Tokyo,Rowing,Women's Single Sculls,
Domenico Acerenza,M,26,Italy,ITA,2020,Summer,Tokyo,Swimming,Men's 1500m Freestyle,
Vladimir Aceti,M,22,Italy,ITA,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay,
Vladimir Aceti,M,22,Italy,ITA,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed,
Javier Acevedo,M,23,Canada,CAN,2020,Summer,Tokyo,Swimming,Mixed 4 x 100m Medley Relay,
Jaouad Achab,M,28,Belgium,BEL,2020,Summer,Tokyo,Taekwondo,Men -68kg,
Kamal Achanta,M,39,India,IND,2020,Summer,Tokyo,Table Tennis,Men's Singles,
Kamal Achanta,M,39,India,IND,2020,Summer,Tokyo,Table Tennis,Mixed Doubles,
Ragnar Ache,M,23,Germany,GER,2020,Summer,Tokyo,Football,Men,
Georgios Achilleos,M,40,Cyprus,CYP,2020,Summer,Tokyo,Shooting,Skeet Men,
Precious Achiuwa,M,21,Nigeria,NGR,2020,Summer,Tokyo,Basketball,Men,
Natalie Achonwa,F,28,Canada,CAN,2020,Summer,Tokyo,Basketball,Women,
Haikel Achouri,M,36,Tunisia,TUN,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 97kg,
Nikola Acin,M,21,Serbia,SRB,2020,Summer,Tokyo,Swimming,Men's 4 x 100m Freestyle Relay,
Simone Ackermann,F,31,South Africa,RSA,2020,Summer,Tokyo,Triathlon,Women's Individual,
Briseida Acosta,F,27,Mexico,MEX,2020,Summer,Tokyo,Taekwondo,Women +67kg,
Yasmani Fernandez Acosta,M,33,Chile,CHI,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 130kg,
